last_name,first_name,scholar_id,title,author,journal,number,cites,year,cid,pubid,hc_affil
Knapp,Chuck,qA1rXb8AAAAJ,Globally important islands where eradicating invasive mammals will benefit highly threatened vertebrates,"ND Holmes, DR Spatz, S Oppel, B Tershy, DA Croll, B Keitt, P Genovesi, ...",PloS one,"14 (3), e0212128",183,2019,10798833860363263573,ns9cj8rnVeAC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Physiological effects of tourism and associated food provisioning in an endangered iguana,"CR Knapp, KN Hines, TT Zachariah, C Perez-Heydrich, JB Iverson, ...",Conservation Physiology,"1 (1), cot032",97,2013,4579595333385260239,isC4tDSrTZIC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Quantifying the contribution of zoos and aquariums to peer-reviewed scientific research,"TL Loh, ER Larson, SR David, LS de Souza, R Gericke, M Gryzbek, ...",Facets,"3 (1), 287-299",76,2018,"15999638482949485151,4413133284706907304",iH-uZ7U-co4C,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Iguana delicatissima,"M Van den Burg, M Breuil, C Knapp",The IUCN Red List of Threatened Species,"10, 2018-1",45,2018,5021688323917168926,k_IJM867U9cC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Energetic investment associated with vitellogenesis induces an oxidative cost of reproduction,"AC Webb, JB Iverson, CR Knapp, DF DeNardo, SS French",Journal of Animal Ecology,"88 (3), 461-472",44,2019,8052513921428209165,maZDTaKrznsC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Do invasive rodents impact endangered insular iguana populations?,"WK Hayes, JB Iverson, CR Knapp, RL Carter",Biodiversity and Conservation,"21 (7), 1893-1899",44,2012,4960206934794634374,0EnyYjriUFMC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,"Lesser Antillean Iguana: Iguana delicatissima: Conservation Action Plan, 2014-2016","C Knapp, M Breuil, C Rodrigues, J Iverson",International Union for Conservation of Nature and Natural Resources (IUCN),,32,2014,6684389296542242550,ULOm3_A8WrAC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,The global need to address threats from invasive alien iguanas,"CR Knapp, TD Grant, SA Pasachnik, B Angin, E Boman, J Brisbane, ...",Animal Conservation,"24 (5), 717-719",31,2021,4750604301558347633,bFI3QPDXJZMC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Nassau grouper migration patterns during full moon suggest collapsed historic fish spawning aggregation and evidence of an undocumented aggregation,"K Stump, CP Dahlgren, KD Sherman, CR Knapp",Bulletin of Marine Science,"93 (2), 375-389",31,2017,7081910040496021941,hFOr9nPyWt4C,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,"Movements and nesting of the Lesser Antillean iguana (Iguana delicatissima) from Dominica, West Indies: Implications for conservation","CR Knapp, L Prince, A James",Herpetological Conservation and Biology,"11 (6), 154-167",31,2016,10802719110336727997,7PzlFSSx8tAC,TRUE
